Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New
Case Départ,GRRRIGNETTES VERSION CAMILLE CHAUSSY,grrrignettes-version-camille-chaussy,https://casedepart.be/images/ashx/grrrignettes-version-camille-chaussy-1.jpeg?s_id=10026805&imgfield=s_image1&imgwidth=300&imgheight=300,25.00,12.50,https://casedepart.be/fr/produit=grrrignettes-version-camille-chaussy&id=10026805,,,,,,,
Case Départ,HANIWA,haniwa,https://casedepart.be/images/ashx/haniwa-1.jpeg?s_id=10030897&imgfield=s_image1&imgwidth=300&imgheight=300,20.00,10.00,https://casedepart.be/fr/produit=haniwa&id=10030897,1,4,20,15,20,6,
Case Départ,HISTOIRE QUI POP : ECOLE DE LA LUNE,histoire-qui-pop-ecole-de-la-lune,https://casedepart.be/images/ashx/histoire-qui-pop-ecole-de-la-lune-1.jpeg?s_id=10031728&imgfield=s_image1&imgwidth=300&imgheight=300,15.00,7.50,https://casedepart.be/fr/produit=histoire-qui-pop-ecole-de-la-lune&id=10031728,,,,,,,
Case Départ,HISTOIRE QUI POP : ROYAUME DE LILIPIGNONS,histoire-qui-pop-royaume-de-lilipignons,https://casedepart.be/images/ashx/histoire-qui-pop-royaume-de-lilipignons-1.jpeg?s_id=10031729&imgfield=s_image1&imgwidth=300&imgheight=300,15.00,7.50,https://casedepart.be/fr/produit=histoire-qui-pop-royaume-de-lilipignons&id=10031729,,,,,,,
Case Départ,HISTOIRE QUI POP : TEMPLE DE CATAJIMA,histoire-qui-pop-temple-de-catajima,https://casedepart.be/images/ashx/histoire-qui-pop-temple-de-catajima-1.jpeg?s_id=10031730&imgfield=s_image1&imgwidth=300&imgheight=300,15.00,7.50,https://casedepart.be/fr/produit=histoire-qui-pop-temple-de-catajima&id=10031730,,,,,,,
Case Départ,ICONS : ASCENSION DE LA COHORTE,icons-ascension-de-la-cohorte,https://casedepart.be/images/ashx/icons-ascension-de-la-cohorte-1.jpeg?s_id=10018017&imgfield=s_image1&imgwidth=300&imgheight=300,25.00,17.50,https://casedepart.be/fr/produit=icons-ascension-de-la-cohorte&id=10018017,,,,,,,
Case Départ,IMPERIAL AGENTS : INDEX CARD,imperial-agents-index-card,https://casedepart.be/images/ashx/imperial-agents-index-card-1.jpeg?s_id=10028121&imgfield=s_image1&imgwidth=300&imgheight=300,12.00,8.40,https://casedepart.be/fr/produit=imperial-agents-index-card&id=10028121,,,,,,,
Case Départ,IMPERIAL AGENTS : INQUISITEUR COTEAZ,imperial-agents-inquisiteur-coteaz,https://casedepart.be/images/ashx/imperial-agents-inquisiteur-coteaz-1.jpeg?s_id=10031871&imgfield=s_image1&imgwidth=300&imgheight=300,35.00,21.00,https://casedepart.be/fr/produit=imperial-agents-inquisiteur-coteaz&id=10031871,,,,,,,
Case Départ,IMPERIAL AGENTS : PATROUILLE,imperial-agents-patrouille,https://casedepart.be/images/ashx/imperial-agents-patrouille-1.jpeg?s_id=10031008&imgfield=s_image1&imgwidth=300&imgheight=300,130.00,78.00,https://casedepart.be/fr/produit=imperial-agents-patrouille&id=10031008,,,,,,,
Case Départ,IMPERIAL AGENTS: NAVIGATEUR,imperial-agents-navigateur,https://casedepart.be/images/ashx/imperial-agents-navigateur-1.jpeg?s_id=10030991&imgfield=s_image1&imgwidth=300&imgheight=300,28.00,16.80,https://casedepart.be/fr/produit=imperial-agents-navigateur&id=10030991,,,,,,,
Case Départ,IMPERIAL AGENTS: ORDO MALLEUS,imperial-agents-ordo-malleus,https://casedepart.be/images/ashx/imperial-agents-ordo-malleus-1.jpeg?s_id=10030994&imgfield=s_image1&imgwidth=300&imgheight=300,172.50,103.50,https://casedepart.be/fr/produit=imperial-agents-ordo-malleus&id=10030994,,,,,,,
Case Départ,IMPERIAL AGENTS: PRETRE DU MINISTORUM,imperial-agents-pretre-du-ministorum,https://casedepart.be/images/ashx/imperial-agents-pretre-du-ministorum-1.jpeg?s_id=10030990&imgfield=s_image1&imgwidth=300&imgheight=300,28.00,16.80,https://casedepart.be/fr/produit=imperial-agents-pretre-du-ministorum&id=10030990,,,,,,,
Case Départ,INDEX : XENOS 1,index-xenos-1,https://casedepart.be/images/ashx/index-xenos-1-1.jpeg?s_id=10012998&imgfield=s_image1&imgwidth=300&imgheight=300,20.00,12.00,https://casedepart.be/fr/produit=index-xenos-1&id=10012998,2,12,180,120,180,12,
Case Départ,INDEX CARD RPG : ECRAN SANG ET NEIGE,index-card-rpg-ecran-sang-et-neige,https://casedepart.be/images/ashx/index-card-rpg-ecran-sang-et-neige-1.jpeg?s_id=10024282&imgfield=s_image1&imgwidth=300&imgheight=300,30.00,15.00,https://casedepart.be/fr/produit=index-card-rpg-ecran-sang-et-neige&id=10024282,,,,,,,
