Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url,Promotion
UltraJeux,Solitaire - Série Noire,solitaire-serie-noire,https://www.ultrajeux.com/images/produits/normal/17861.jpg,25.00,23.50,https://www.ultrajeux.com/produit-17861-solitaire-serie-noire-3262190553415.html,,,,,,,,,Oui
UltraJeux,Las Vegas,las-vegas,https://www.ultrajeux.com/images/produits/normal/17887.jpg,24.50,22.00,https://www.ultrajeux.com/produit-17887-las-vegas-4005556267453.html,,,,,,,,,Oui
UltraJeux,Lueur,lueur,https://www.ultrajeux.com/images/produits/normal/16696.jpg,31.90,28.70,https://www.ultrajeux.com/produit-16696-lueur-3760267990526.html,2,4,45,45,45,10,,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Chevaliers de la Rose,le-trone-de-fer-le-jeu-de-figurines-chevaliers-de-la-rose,https://www.ultrajeux.com/images/produits/normal/17790.jpg,36.95,33.25,https://www.ultrajeux.com/produit-17790-le-trone-de-fer-le-jeu-de-figurines-chevaliers-de-la-rose-8435407634718.html,2,2,0,0,0,0,,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Fidèles de R'hllor,le-trone-de-fer-le-jeu-de-figurines-fideles-de-r-hllor,https://www.ultrajeux.com/images/produits/normal/17791.jpg,34.95,31.45,https://www.ultrajeux.com/produit-17791-le-trone-de-fer-le-jeu-de-figurines-fideles-de-r-hllor-8435407634688.html,,,,,,,,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Maîtres D’armes Immaculés,le-trone-de-fer-le-jeu-de-figurines-maitres-darmes-immacules,https://www.ultrajeux.com/images/produits/normal/17792.jpg,36.95,33.25,https://www.ultrajeux.com/produit-17792-le-trone-de-fer-le-jeu-de-figurines-maitres-darmes-immacules-8435407634640.html,,,,,,,,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Piquiers Immaculés,le-trone-de-fer-le-jeu-de-figurines-piquiers-immacules,https://www.ultrajeux.com/images/produits/normal/17794.jpg,34.95,31.45,https://www.ultrajeux.com/produit-17794-le-trone-de-fer-le-jeu-de-figurines-piquiers-immacules-8435407634633.html,2,8,180,60,180,8,,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Héros Targaryen #1,le-trone-de-fer-le-jeu-de-figurines-heros-targaryen-1,https://www.ultrajeux.com/images/produits/normal/17797.jpg,36.95,33.25,https://www.ultrajeux.com/produit-17797-le-trone-de-fer-le-jeu-de-figurines-heros-targaryen-1-8435407634657.html,2,2,0,0,0,0,,,Oui
UltraJeux,Le Peuple Loup,le-peuple-loup,https://www.ultrajeux.com/images/produits/normal/17800.jpg,22.50,20.25,https://www.ultrajeux.com/produit-17800-le-peuple-loup-3830069260902.html,2,4,30,10,30,6,,,Oui
UltraJeux,Mr Jack - London,mr-jack-london,https://www.ultrajeux.com/images/produits/normal/11264.jpg,27.50,24.70,https://www.ultrajeux.com/produit-11264-mr-jack-london-7612577001019.html,,,,,,,,,Oui
