Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url
Golden Meeple,Boite de Rangement – Token Silo Noir,boite-de-rangement-token-silo-noir,https://www.goldenmeeple.be/wp-content/uploads/2022/12/Boite-de-Rangement-Token-Silo-Noir-00-200x200.jpg,14.10,12.90,https://www.goldenmeeple.be/produit/boite-de-rangement-token-silo-noir/,,,,,,,,
Golden Meeple,Boite de Rangement – Token Silo Rouge,boite-de-rangement-token-silo-rouge,https://www.goldenmeeple.be/wp-content/uploads/2022/11/Boite-de-Rangement-Token-Silo-Rouge-00-200x200.jpg,14.10,12.90,https://www.goldenmeeple.be/produit/boite-de-rangement-token-silo-rouge/,,,,,,,,
Golden Meeple,Boite de Rangement – Token Silo Bleu,boite-de-rangement-token-silo-bleu,https://www.goldenmeeple.be/wp-content/uploads/2022/11/Boite-de-Rangement-Token-Silo-Bleu-00-200x200.jpg,14.10,12.90,https://www.goldenmeeple.be/produit/boite-de-rangement-token-silo-bleu/,,,,,,,,
Golden Meeple,Food Chain Magnate,food-chain-magnate,https://www.goldenmeeple.be/wp-content/uploads/2022/02/Food-Chain-Magnate-00-200x200.jpg,90.00,75.00,https://www.goldenmeeple.be/produit/food-chain-magnate/,2,5,240,120,240,14,https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__original/img/9c-MJB6x54vN5eB-1hT4XQaHtP8=/0x0/filters:format(png)/pic2649434.png,https://boardgamegeek.com/boardgame/175914/
Golden Meeple,Grand Sac Golden Meeple,grand-sac-golden-meeple,https://www.goldenmeeple.be/wp-content/uploads/2019/06/Grand-Sac-Golden-Meeple-00-200x200.jpg,5.00,3.00,https://www.goldenmeeple.be/produit/grand-sac-golden-meeple/,,,,,,,,
UltraJeux,Jeu de Plateau Aventure - Cthulhu : Death May Die - Peur de l'inconnu,cthulhu-death-may-die-peur-de-l-inconnu,https://www.ultrajeux.com/images/produits/normal/28679.jpg,99.90,89.90,produit-28679-cthulhu-death-may-die-peur-de-l-inconnu-3558380118954.html,,,,,,,,
UltraJeux,Jeu de Plateau Aventure - Cthulhu : Death May Die - Ithaqua,cthulhu-death-may-die-ithaqua,https://www.ultrajeux.com/images/produits/normal/28680.jpg,31.90,28.70,produit-28680-cthulhu-death-may-die-ithaqua-3558380118978.html,1,5,90,90,90,14,https://cf.geekdo-images.com/N5KmaUU-L9-BpDI5U8rIIg__original/img/wtuFIa_uHN0JVsqhSRspKnAmFA0=/0x0/filters:format(png)/pic8412965.png,https://boardgamegeek.com/boardgame/374971/
UltraJeux,Jeu de Plateau Aventure - Cthulhu : Death May Die - Saison 4,cthulhu-death-may-die-saison-4,https://www.ultrajeux.com/images/produits/normal/28681.jpg,73.90,66.50,produit-28681-cthulhu-death-may-die-saison-4-3558380118961.html,,,,,,,,
UltraJeux,Jeu de Cartes Deck-building - For a Crown,jeu-de-cartes-deck-building-for-a-crown,https://www.ultrajeux.com/images/produits/normal/29154.jpg,32.50,29.20,produit-29154-for-a-crown-5425015927748.html,,,,,,,,
UltraJeux,Stratégie Gestion - Voidfall,voidfall,https://www.ultrajeux.com/images/produits/normal/24897.jpg,107.90,97.10,produit-24897-voidfall-3770023051453.html,1,4,240,90,240,15,https://cf.geekdo-images.com/hItZjdDTNuaCZ7fEztwcUQ__original/img/gIhusTrYRr_2JQGEv0zuSgLtuUo=/0x0/filters:format(jpeg)/pic6153324.jpg,https://boardgamegeek.com/boardgame/337627/
