Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New,Promotion
UltraJeux,Rush Hour - Thinkfun,rush-hour-thinkfun,https://www.ultrajeux.com/images/produits/normal/23232.jpg,29.90,26.90,https://www.ultrajeux.com/produit-23232-rush-hour-thinkfun-4005556766000.html,,,,,,,,Oui
UltraJeux,The Warp : 5-6 Joueurs - Extension,the-warp-5-6-joueurs-extension,https://www.ultrajeux.com/images/produits/normal/23235.jpg,35.90,32.30,https://www.ultrajeux.com/produit-23235-the-warp-5-6-joueurs-extension-7436950022053.html,,,,,,,,Oui
UltraJeux,Qwirkle Deluxe (Noir),qwirkle-deluxe-noir,https://www.ultrajeux.com/images/produits/normal/23239.jpg,49.90,44.90,https://www.ultrajeux.com/produit-23239-qwirkle-deluxe-noir-3701551700025.html,,,,,,,,Oui
UltraJeux,Matagot - Feu de Camp,matagot-feu-de-camp,https://www.ultrajeux.com/images/produits/normal/23241.jpg,12.90,11.60,https://www.ultrajeux.com/produit-23241-feu-de-camp-3760372230180.html,,,,,,,,Oui
UltraJeux,Earth,earth,https://www.ultrajeux.com/images/produits/normal/23143.jpg,45.90,41.30,https://www.ultrajeux.com/produit-23143-earth-0787790613190.html,1,5,90,45,90,13,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Piquiers de Hautjardin,le-trone-de-fer-le-jeu-de-figurines-piquiers-de-hautjardin,https://www.ultrajeux.com/images/produits/normal/23190.jpg,34.95,31.45,https://www.ultrajeux.com/produit-23190-le-trone-de-fer-le-jeu-de-figurines-piquiers-de-hautjardin-0889696015624.html,2,2,60,45,60,14,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Bêtes d'Airain,le-trone-de-fer-le-jeu-de-figurines-betes-d-airain,https://www.ultrajeux.com/images/produits/normal/23191.jpg,34.95,31.45,https://www.ultrajeux.com/produit-23191-le-trone-de-fer-le-jeu-de-figurines-betes-d-airain-0889696015617.html,,,,,,,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Epées louées de Lys,le-trone-de-fer-le-jeu-de-figurines-epees-louees-de-lys,https://www.ultrajeux.com/images/produits/normal/23192.jpg,34.95,31.45,https://www.ultrajeux.com/produit-23192-le-trone-de-fer-le-jeu-de-figurines-epees-louees-de-lys-0889696015600.html,2,2,60,45,60,14,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Chasseurs de la Grève Glacée,le-trone-de-fer-le-jeu-de-figurines-chasseurs-de-la-greve-glacee,https://www.ultrajeux.com/images/produits/normal/23193.jpg,34.95,31.45,https://www.ultrajeux.com/produit-23193-le-trone-de-fer-le-jeu-de-figurines-chasseurs-de-la-greve-glacee-0889696015594.html,2,2,60,45,60,14,,Oui
UltraJeux,Le Trône de Fer : le Jeu de Figurines - Paludiers Démons des marais,le-trone-de-fer-le-jeu-de-figurines-paludiers-demons-des-marais,https://www.ultrajeux.com/images/produits/normal/23194.jpg,34.95,31.45,https://www.ultrajeux.com/produit-23194-le-trone-de-fer-le-jeu-de-figurines-paludiers-demons-des-marais-0889696015587.html,2,2,60,45,60,14,,Oui
UltraJeux,Memoria Bluff,memoria-bluff,https://www.ultrajeux.com/images/produits/normal/23174.jpg,17.90,16.10,https://www.ultrajeux.com/produit-23174-memoria-bluff-3770029564001.html,2,8,40,10,40,6,,Oui
UltraJeux,Final Girl - La colo de l'horreur,final-girl-la-colo-de-l-horreur,https://www.ultrajeux.com/images/produits/normal/23176.jpg,26.90,24.20,https://www.ultrajeux.com/produit-23176-final-girl-la-colo-de-l-horreur-3663411311461.html,1,1,60,20,60,14,,Oui
UltraJeux,Sub Terra II - Pack de figurines : L’attaque des crabes,sub-terra-ii-pack-de-figurines-lattaque-des-crabes,https://www.ultrajeux.com/images/produits/normal/23144.jpg,15.90,14.30,https://www.ultrajeux.com/produit-23144-sub-terra-ii-pack-de-figurines-lattaque-des-crabes-3770009354745.html,,,,,,,,Oui
UltraJeux,OK Boomer,ok-boomer,https://www.ultrajeux.com/images/produits/normal/23105.jpg,18.90,17.00,https://www.ultrajeux.com/produit-23105-ok-boomer-8720077262577.html,,,,,,,,Oui
UltraJeux,Vicomtes du Royaume de l'Ouest - Gardien des Clés,vicomtes-du-royaume-de-l-ouest-gardien-des-cles,https://www.ultrajeux.com/images/produits/normal/23109.jpg,22.50,20.25,https://www.ultrajeux.com/produit-23109-vicomtes-du-royaume-de-l-ouest-gardien-des-cles-3701358300817.html,,,,,,,,Oui
UltraJeux,Circadiens - Ordre du Chaos,circadiens-ordre-du-chaos,https://www.ultrajeux.com/images/produits/normal/23113.jpg,54.50,49.05,https://www.ultrajeux.com/produit-23113-circadiens-ordre-du-chaos-3701358300794.html,2,5,240,120,240,12,,Oui
UltraJeux,Bicycle Creatives - Retour vers le Futur,bicycle-creatives-retour-vers-le-futur,https://www.ultrajeux.com/images/produits/normal/23131.jpg,15.95,14.35,https://www.ultrajeux.com/produit-23131-bicycle-creatives-retour-vers-le-futur-0073854094594.html,,,,,,,,Oui
UltraJeux,Tapis de cartes Néoprène - Belote - 40x60cm,tapis-de-cartes-neoprene-belote-40x60cm,https://www.ultrajeux.com/images/produits/normal/23136.jpg,20.00,18.00,https://www.ultrajeux.com/produit-23136-tapis-de-cartes-neoprene-belote-40x60cm-3114520098946.html,,,,,,,,Oui
UltraJeux,Dobble Connect,dobble-connect,https://www.ultrajeux.com/images/produits/normal/23100.jpg,14.50,13.00,https://www.ultrajeux.com/produit-23100-dobble-connect-3558380107118.html,2,8,15,15,15,8,,Oui
UltraJeux,Dragonbond: Lords of Vaala,dragonbond-lords-of-vaala,https://www.ultrajeux.com/images/produits/normal/23091.jpg,44.95,40.45,https://www.ultrajeux.com/produit-23091-dragonbond-lords-of-vaala-0793888247550.html,1,4,90,60,90,14,,Oui
